A
1100 Generated by WorldEditor 1.7.21r1

1    137 1 0 ESSA Stockholm Arlanda
1302 city Stockholm
1302 country Sweden
1302 datum_lat 59.651944444
1302 datum_lon 17.918611111
1302 faa_code 
1302 iata_code ARN
1302 icao_code ESSA
1302 region_code ES
1302 state Stockholms län
1302 transition_alt 5000
1302 transition_level 
1302 flatten 1
100 45.00 2 1 0.20 1 2 0 01L  59.63725600  017.91322500    0    0 3 4 1 1 19R  59.66640300  017.92376694    0    0 3 3 0 1
100 45.00 2 1 0.22 1 2 0 08  59.65841857  017.93613303    0    0 3 10 0 1 26  59.66389700  017.97915293    0    0 3 3 0 1
100 45.00 1 1 0.22 1 2 0 01R  59.62639689  017.95074444    0   59 3 4 1 1 19L  59.64846911  017.95874708    0    0 3 4 1 1
110 2 0.00 0.0000 Concrete
111  59.64311854  017.93346936
111  59.64311854  017.93323729
111  59.64285225  017.93323729
111  59.64285120  017.93267697
111  59.64237357  017.93267697
111  59.64237357  017.93295923
111  59.64231228  017.93295923
111  59.64231228  017.93307631
111  59.64207241  017.93307631
111  59.64207241  017.93267697
111  59.64164973  017.93267697
111  59.64164973  017.93296342
111  59.64154617  017.93296342
111  59.64154617  017.93308050
111  59.64134223  017.93308050
111  59.64134223  017.93267697
111  59.64084347  017.93267697
111  59.64084347  017.93296133
111  59.64078007  017.93296133
111  59.64078007  017.93308050
111  59.64065432  017.93308050
111  59.64065432  017.93324357
111  59.64052540  017.93324357
111  59.64052540  017.93427429
111  59.64077056  017.93434747
111  59.64321576  017.93434747
113  59.64321576  017.93346936
110 2 0.00 0.0000 Concrete
111  59.64068694  017.93493502
111  59.64068694  017.93530439
111  59.64074479  017.93549169
111  59.64166508  017.93533562
111  59.64338734  017.93533562
113  59.64338734  017.93493502
110 2 0.00 0.0000 Concrete
111  59.64119938  017.93014329
111  59.64089886  017.93128232
111  59.64089886  017.93180669
111  59.64238373  017.93180669
111  59.64238373  017.93151063
111  59.64249278  017.93151063
111  59.64249278  017.93138268
111  59.64260056  017.93138268
111  59.64260056  017.93122462
