A
1000 Generated by WorldEditor

17     16 0 0 EFHY Helsingin Yliopistollinen Sairaala / Meilahti Helipad
102 H1  60.18904575  024.90743168 178.35 19.00 19.00 15 0 0 0.00 0
130 Boundary (Grass)
111  60.19130692  024.90019934
111  60.18961422  024.90249119
111  60.18779546  024.90425847
111  60.18564513  024.90704068
111  60.18534901  024.90768187
111  60.18518114  024.90840123
111  60.18509320  024.90963676
111  60.18496315  024.91095377
111  60.18544555  024.91080668
111  60.18576055  024.91041995
111  60.18597306  024.90976994
111  60.18605673  024.90929236
111  60.18677833  024.91003174
111  60.18746980  024.91096896
111  60.18797337  024.91193641
111  60.18838055  024.91275006
111  60.18884693  024.91203879
111  60.18997424  024.91130953
111  60.19074575  024.91086680
111  60.19100226  024.91063182
113  60.19108428  024.90999601
120 Linear Feature 7
111  60.18881716  024.89898875 20
115  60.18894202  024.89971283
120 Linear Feature 6
111  60.18894202  024.89971283 20
115  60.18901949  024.89901265
120 Linear Feature 5
111  60.18896357  024.89898572 20
115  60.18868282  024.89918680
120 Linear Feature 4
111  60.18867591  024.89924520 20
111  60.18889061  024.89968866 20
111  60.18894202  024.89971283 20
111  60.18940216  024.89992923 20
111  60.18948071  024.89923471 20
111  60.18901949  024.89901265 20
111  60.18896357  024.89898572 20
111  60.18887011  024.89894073 20
111  60.18881716  024.89898875 20
111  60.18868282  024.89911058 20
112  60.18863225  024.89918818  60.18862169  024.89927961 20
115  60.18866333  024.89929786
120 Linear Feature 13
112  60.19007129  024.89951008  60.19006918  024.89949838 20
112  60.19005705  024.89949659  60.19005133  024.89949984 20
112  60.19004978  024.89952245  60.19005095  024.89953285 20
114  60.19006432  024.89953762  60.19007214  024.89953220 20
120 Linear Feature 10
111  60.19010371  024.89949051 20
115  60.19001727  024.89954213
120 Linear Feature 17
111  60.19005970  024.89944266 20
112  60.19005320  024.89946980  60.19004370  024.89947599 20
115  60.19003894  024.89945533
120 Linear Feature 16
111  60.19008271  024.89957622 20
112  60.19006776  024.89956203  60.19005799  024.89956799 20
115  60.19006119  024.89959044
120 Linear Feature 15
111  60.19010005  024.89965935 20
111  60.19008577  024.89957420 20
111  60.19008271  024.89957622 20
111  60.19006119  024.89959044 20
111  60.19005846  024.89959224 20
115  60.19007139  024.89967695
120 Linear Feature 14
111  60.19001990  024.89937389 20
111  60.19003522  024.89945760 20
111  60.19003894  024.89945533 20
111  60.19005970  024.89944266 20
111  60.19006277  024.89944078 20
115  60.19004768  024.89935671
120 Linear Feature 9
111  60.18999112  024.89939169 20
111  60.19001727  024.89954213 20
111  60.19004366  024.89969398 20
111  60.19007139  024.89967695 20
111  60.19010005  024.89965935 20
111  60.19012925  024.89964141 20
111  60.19010371  024.89949051 20
111  60.19007790  024.89933802 20
111  60.19004768  024.89935671 20
113  60.19001990  024.89937389 20
120 Linear Feature 13
112  60.18989150  024.89962915  60.18988861  024.89961167 20
112  60.18987189  024.89960900  60.18986400  024.89961386 20
112  60.18986187  024.89964762  60.18986348  024.89966316 20
114  60.18988190  024.89967029  60.18989268  024.89966220 20
120 Linear Feature 12
111  60.18978817  024.89944752 20
112  60.18986494  024.89955308  60.18992087  024.89951613 20
115  60.18989341  024.89937696
120 Linear Feature 11
111  60.18996335  024.89983068 20
112  60.18988994  024.89972965  60.18983605  024.89976652 20
115  60.18985847  024.89990052
120 Linear Feature 10
111  60.18993618  024.89959992 20
115  60.18981707  024.89967703
120 Linear Feature 17
111  60.18987043  024.89949844 20
112  60.18986148  024.89953899  60.18984838  024.89954825 20
115  60.18984183  024.89951737
120 Linear Feature 16
111  60.18991195  024.89976308 20
112  60.18989135  024.89974189  60.18987790  024.89975079 20
115  60.18988231  024.89978431
120 Linear Feature 15
111  60.18993114  024.89985213 20
111  60.18991618  024.89976006 20
111  60.18991195  024.89976308 20
111  60.18988231  024.89978431 20
111  60.18987854  024.89978701 20
115  60.18989164  024.89987843
120 Linear Feature 14
111  60.18982069  024.89942571 20
111  60.18983671  024.89952076 20
111  60.18984183  024.89951737 20
111  60.18987043  024.89949844 20
111  60.18987466  024.89949564 20
115  60.18985898  024.89940004
120 Linear Feature 9
111  60.18978104  024.89945230 20
111  60.18981707  024.89967703 20
111  60.18985344  024.89990387 20
111  60.18985847  024.89990052 20
111  60.18989164  024.89987843 20
111  60.18993114  024.89985213 20
111  60.18996335  024.89983068 20
111  60.18997138  024.89982534 20
111  60.18993618  024.89959992 20
111  60.18990061  024.89937212 20
111  60.18989341  024.89937696 20
111  60.18985898  024.89940004 20
111  60.18982069  024.89942571 20
113  60.18978817  024.89944752 20
120 Linear Feature 13
112  60.18974305  024.89972754  60.18974015  024.89971006 20
112  60.18972343  024.89970739  60.18971555  024.89971224 20
112  60.18971341  024.89974601  60.18971502  024.89976155 20
114  60.18973345  024.89976868  60.18974423  024.89976058 20
120 Linear Feature 12
111  60.18963971  024.89954591 20
112  60.18971648  024.89965146  60.18977242  024.89961452 20
115  60.18974495  024.89947534
120 Linear Feature 11
111  60.18981490  024.89992907 20
112  60.18974148  024.89982803  60.18968760  024.89986491 20
115  60.18971002  024.89999891
120 Linear Feature 10
111  60.18978773  024.89969830 20
115  60.18966862  024.89977542
120 Linear Feature 17
111  60.18972198  024.89959683 20
112  60.18971303  024.89963738  60.18969993  024.89964663 20
115  60.18969337  024.89961576
120 Linear Feature 16
111  60.18976350  024.89986146 20
112  60.18974290  024.89984027  60.18972944  024.89984917 20
115  60.18973386  024.89988270
120 Linear Feature 15
111  60.18978268  024.89995052 20
111  60.18976772  024.89985844 20
111  60.18976350  024.89986146 20
111  60.18973386  024.89988270 20
111  60.18973009  024.89988539 20
115  60.18974319  024.89997682
120 Linear Feature 14
111  60.18967224  024.89952410 20
111  60.18968825  024.89961915 20
111  60.18969337  024.89961576 20
111  60.18972198  024.89959683 20
111  60.18972621  024.89959403 20
115  60.18971053  024.89949842
120 Linear Feature 9
111  60.18963259  024.89955068 20
111  60.18966862  024.89977542 20
111  60.18970498  024.90000226 20
111  60.18971002  024.89999891 20
111  60.18974319  024.89997682 20
111  60.18978268  024.89995052 20
111  60.18981490  024.89992907 20
111  60.18982292  024.89992372 20
111  60.18978773  024.89969830 20
111  60.18975216  024.89947051 20
111  60.18974495  024.89947534 20
111  60.18971053  024.89949842 20
111  60.18967224  024.89952410 20
113  60.18963971  024.89954591 20
99
