I
1100 Generated by WorldEditor 1.7.1r2

1    283 1 0 ENKR Kirkenes Høybuktmoen
1302 city Kirkenes
1302 country Norway
1302 datum_lat 69.725
1302 datum_lon 29.887777778
1302 faa_code 
1302 iata_code KKN
1302 icao_code ENKR
1302 region_code EN
1302 state Finnmark
1302 transition_alt 7000
1302 transition_level 
1302 flatten 1
100 45.11 1 1 0.00 1 3 0 06  69.72229017  029.86705208   56    0 2 3 0 0 24  69.72903275  029.91789932  442    0 3 3 0 0
110 5 0.00 33.9800 New Taxiway 31
111  69.72105283  029.87011844
111  69.72114746  029.87012919
111  69.72116449  029.86996747
111  69.72114374  029.86989473
111  69.72115334  029.86929773
112  69.72115334  029.86929773  69.72115482  029.86910583
111  69.72110623  029.86899998
111  69.72092362  029.86870892
111  69.72082274  029.86918420
111  69.72099385  029.86948631
112  69.72107797  029.86940647  69.72111122  029.86942992
111  69.72111270  029.86959197
111  69.72111048  029.86984356
113  69.72102032  029.86985723
110 5 0.00 81.0100 New Taxiway 30
111  69.72076619  029.86970016
111  69.72073335  029.86927744
112  69.72073890  029.86917794  69.72074702  029.86913105
111  69.72074567  029.86908199
111  69.72073705  029.86901803
112  69.72067441  029.86898521  69.72065602  029.86899508
111  69.72064898  029.86905889
112  69.72070318  029.86924901  69.72070917  029.86931194
111  69.72070318  029.86924901
113  69.72074035  029.86971880
110 5 0.00 63.1600 New Taxiway 29
111  69.71968750  029.87042770
111  69.71968374  029.87061131
111  69.71980272  029.87124027
111  69.71985224  029.87122108
111  69.71995570  029.87132768
111  69.72006966  029.87137143
111  69.71996018  029.87074289
114  69.71996018  029.87074289  69.71991060  029.87046478
110 5 0.00 0.0000 New Taxiway 57
111  69.72146804  029.89348098
111  69.72131442  029.89315594
111  69.72117518  029.89309192
111  69.72116064  029.89299701
111  69.72109285  029.89301833
111  69.72106730  029.89288884
111  69.72103517  029.89289326
111  69.72105750  029.89302945
111  69.72099921  029.89304778
112  69.72091199  029.89287119  69.72086352  029.89270590
111  69.72081865  029.89231493
112  69.72063907  029.89383211  69.72050363  029.89448085
111  69.72063907  029.89383211
111  69.72075352  029.89360234
112  69.72080178  029.89363603  69.72081720  029.89372821
111  69.72080178  029.89363603
111  69.72081993  029.89370723
111  69.72098245  029.89351910
111  69.72104995  029.89399540
111  69.72111477  029.89392715
113  69.72129832  029.89364414
110 1 0.00 347.7700 New Taxiway 41
111  69.72564691  029.89401589
111  69.72559182  029.89407417
112  69.72553582  029.89429672  69.72546696  029.89434088
111  69.72553582  029.89429672
111  69.72518662  029.89450265
111  69.72466905  029.89510280
112  69.72353807  029.89587746  69.72338751  029.89592779
111  69.72328424  029.89540824
111  69.72307026  029.89575017
112  69.72297221  029.89621112  69.72286388  029.89631178
111  69.72297221  029.89621112
111  69.72133591  029.89733645
112  69.72121560  029.89711140  69.72117735  029.89685571
111  69.72121560  029.89711140
111  69.72111673  029.89788033
111  69.72113853  029.89792100
112  69.72113853  029.89792100  69.72117168  029.89815093
111  69.72125591  029.89813992
111  69.72461314  029.89591839
111  69.72467660  029.89589931
111  69.72468982  029.89601758
111  69.72497142  029.89583827
111  69.72556994  029.89547421
112  69.72582995  029.89577942  69.72591809  029.89617683
111  69.72582995  029.89577942
113  69.72588173  029.89572855
110 1 0.00 249.1100 New Taxiway 41
111  69.72328424  029.89540824
111  69.72319963  029.89480170
111  69.72350293  029.89444703
111  69.72320309  029.89208954
111  69.72290160  029.89241228
111  69.72282371  029.89181801
111  69.72255228  029.89211423
111  69.72277816  029.89378562
111  69.72274787  029.89387834
111  69.72237729  029.89429741
