I
1100 Generated by WorldEditor 1.7.1r2

1     41 1 0 ENAN Andøya Andenes
1302 city Andenes
1302 country Norway
1302 datum_lat 69.2925
1302 datum_lon 16.144166667
1302 faa_code 
1302 iata_code ANX
1302 icao_code ENAN
1302 region_code EN
1302 state Nordland
1302 transition_alt 7000
1302 transition_level 
1302 flatten 1
100 45.11 1 0 0.00 0 3 0 14  69.30907057  016.11648699  260    0 3 10 0 0 32  69.28581900  016.15482800  270    0 3 3 0 0
100 45.11 1 0 0.00 0 3 0 03  69.28296173  016.12780409    0    0 3 10 0 0 21  69.29573249  016.14979936    0    0 2 10 0 0
110 5 0.00 315.3000 New Taxiway 83
111  69.31063953  016.12766639
112  69.31079797  016.12738593  69.31087211  016.12720481
111  69.31079797  016.12738593
111  69.31111949  016.12659518
111  69.31125605  016.12663052
112  69.31129819  016.12651346  69.31130209  016.12638976
111  69.31129819  016.12651346
112  69.31129819  016.12651346  69.31130600  016.12630141
111  69.31125683  016.12630141
111  69.31116631  016.12634559
111  69.31111012  016.12651788
111  69.31083777  016.12714517
112  69.31075423  016.12714586  69.31071677  016.12707518
113  69.31075423  016.12714586
110 4 0.00 2.8400 New Taxiway 50
111  69.29864767  016.11417534
111  69.29869420  016.11413965
111  69.29874960  016.11417497
111  69.29884481  016.11425444
111  69.29889397  016.11427872
111  69.29891972  016.11438468
111  69.29897279  016.11441779
111  69.29901259  016.11433170
111  69.29907658  016.11432728
111  69.29909921  016.11440896
111  69.29914993  016.11442441
111  69.29916866  016.11437805
111  69.29925606  016.11443324
111  69.29951330  016.11445246
111  69.29964752  016.11458713
111  69.29971463  016.11481893
111  69.29977784  016.11463570
111  69.29992533  016.11464894
111  69.29996357  016.11427144
111  69.29978409  016.11408821
111  69.29973492  016.11427806
112  69.29965446  016.11442036  69.29961401  016.11439747
111  69.29953593  016.11430897
111  69.29921130  016.11423392
111  69.29877038  016.11409485
113  69.29868809  016.11391462
110 4 0.00 18.8200 New Taxiway 52
111  69.30107271  016.11139981
111  69.30097441  016.11127573
111  69.30093604  016.11100527
111  69.30060414  016.11073313
111  69.30053469  016.11082806
111  69.30043714  016.11074417
111  69.30038408  016.11134467
111  69.30048787  016.11147052
111  69.30046992  016.11164272
111  69.30050114  016.11166700
111  69.30083353  016.11191646
113  69.30088721  016.11168044
110 2 0.00 330.5100 New Taxiway 30
111  69.28975297  016.15480873
111  69.28985155  016.15468386
112  69.28985155  016.15468386  69.28989333  016.15463659
111  69.28991539  016.15470437
111  69.29001187  016.15518440
111  69.29011271  016.15501208
111  69.29003001  016.15459565
112  69.29007426  016.15428384  69.29013590  016.15416863
111  69.29007426  016.15428384
111  69.29052614  016.15355148
112  69.29076211  016.15338013  69.29084986  016.15345102
111  69.29076211  016.15338013
111  69.29089600  016.15317208
112  69.29089600  016.15317208  69.29068539  016.15293458
111  69.29048983  016.15326604
111  69.29000145  016.15406985
112  69.29000145  016.15406985  69.28994608  016.15414370
111  69.28990482  016.15401815
111  69.28985084  016.15374244
111  69.28975595  016.15386307
111  69.28981515  016.15416339
112  69.28979948  016.15438248  69.28975769  016.15445928
111  69.28979948  016.15438248
113  69.28969725  016.15456257
110 2 0.00 30.1400 New Taxiway 30
111  69.29076211  016.15338013
112  69.29076211  016.15338013  69.29084986  016.15345102
111  69.29081531  016.15373743
111  69.29076029  016.15399899
111  69.29084735  016.15411011
111  69.29092352  016.15375452
112  69.29101058  016.15368614  69.29106824  016.15376767
111  69.29101058  016.15368614
111  69.29107224  016.15379384
112  69.29107224  016.15379384  69.29112615  016.15390373
111  69.29111396  016.15408960
111  69.29103657  016.15447768
111  69.29114781  016.15460761
111  69.29122096  016.15418192
112  69.29128686  016.15410841  69.29132321  016.15415449
111  69.29128686  016.15410841
111  69.29134834  016.15384266
112  69.29131073  016.15356202  69.29133831  016.15343795
111  69.29131073  016.15356202
111  69.29135878  016.15331092
111  69.29127730  016.15318390
111  69.29117597  016.15361815
111  69.29107254  016.15342614
112  69.29106105  016.15315140  69.29109615  016.15298834
111  69.29106105  016.15315140
111  69.29113209  016.15286781
111  69.29104538  016.15268170
111  69.29097330  016.15295348
112  69.29089600  016.15317208  69.29086842  016.15313663
113  69.29089600  016.15317208
110 2 0.00 329.2600 New Taxiway 30
111  69.29128686  016.15410841
112  69.29128686  016.15410841  69.29162468  016.15451693
111  69.29196568  016.15382792
111  69.29232000  016.15321736
112  69.29232000  016.15321736  69.29238164  016.15312578
111  69.29243753  016.15331092
111  69.29251849  016.15317797
112  69.29251849  016.15317797  69.29248715  016.15301844
111  69.29253329  016.15283330
111  69.29287165  016.15225267
111  69.29280838  016.15203689
111  69.29249302  016.15256082
112  69.29238232  016.15250464  69.29234889  016.15234807
111  69.29238232  016.15250464
111  69.29232796  016.15223585
111  69.29223707  016.15238357
111  69.29230772  016.15271037
112  69.29228826  016.15292420  69.29223916  016.15302169
111  69.29228826  016.15292420
111  69.29189860  016.15362732
112  69.29134834  016.15384266  69.29112269  016.15353638
113  69.29134834  016.15384266
110 2 0.00 272.3200 New Taxiway 30
111  69.29287165  016.15225267
112  69.29287165  016.15225267  69.29311736  016.15182015
111  69.29317823  016.15088054
111  69.29326790  016.15071312
111  69.29341154  016.15078452
111  69.29342199  016.15048662
111  69.29325745  016.15042260
111  69.29319042  016.15022564
111  69.29319738  016.14974800
111  69.29324526  016.14951903
111  69.29336975  016.14953381
111  69.29339152  016.14938855
111  69.29337672  016.14925313
111  69.29331404  016.14924821
112  69.29323220  016.14899954  69.29324223  016.14877974
111  69.29323220  016.14899954
112  69.29331230  016.14854003  69.29336369  016.14833086
111  69.29331230  016.14854003
111  69.29322186  016.14842296
112  69.29322186  016.14842296  69.29313662  016.14879522
111  69.29310381  016.14913203
111  69.29303905  016.14925021
111  69.29287712  016.14927975
111  69.29288443  016.14961360
111  69.29305889  016.14958701
111  69.29309329  016.14970222
111  69.29308482  016.15016045
111  69.29300805  016.15035466
111  69.29293057  016.15033989
111  69.29292013  016.15063287
111  69.29305158  016.15066488
111  69.29307289  016.15080669
112  69.29280838  016.15203689  69.29259276  016.15236660
113  69.29280838  016.15203689
110 2 0.00 304.5200 New Taxiway 30
111  69.29331230  016.14854003
111  69.29356176  016.14749770
112  69.29356176  016.14749770  69.29365453  016.14717152
111  69.29384257  016.14720698
111  69.29344769  016.14652981
112  69.29348529  016.14730979  69.29341885  016.14765724
111  69.29348529  016.14730979
113  69.29322186  016.14842296
110 2 0.00 330.3800 New Taxiway 29
111  69.28888706  016.15829676
111  69.28895921  016.15864989
111  69.28926608  016.15811040
113  69.28919832  016.15779754
110 1 0.00 328.5100 New Taxiway 28
111  69.28859551  016.15798193
111  69.28854163  016.15772349
112  69.28847597  016.15797882  69.28844622  016.15801984
111  69.28847597  016.15797882
111  69.28841732  016.15798223
