I
1100 Generated by WorldEditor 1.7.21r1

1     32 1 0 ESSP Norrkoping Kungsangen
1302 city Norrköping
1302 country Sweden
1302 datum_lat 58.586111111
1302 datum_lon 16.246388889
1302 faa_code 
1302 iata_code NRK
1302 icao_code ESSP
1302 region_code ES
1302 state Östergötlands län
1302 transition_alt 5000
1302 transition_level 
100 35.00 3 0 0.00 0 0 0 11  58.59011341  016.23642683    0    0 0 0 0 0 29  58.58778039  016.24576992    0    0 0 0 0 0
100 45.00 1 0 0.00 1 2 0 09  58.58611290  016.23160533    0    0 3 3 1 1 27  58.58581684  016.26963933    0   56 3 3 1 1
110 3 0.00 0.0000 Grass Area
111  58.58994123  016.23627986
111  58.58989799  016.23624167
111  58.58987084  016.23634307
111  58.58991144  016.23638213
111  58.58761884  016.24557626
111  58.58758406  016.24555402
111  58.58755424  016.24565572
111  58.58758737  016.24568114
111  58.58734198  016.24668551
111  58.58776492  016.24669352
111  58.59026426  016.23670591
111  58.59031884  016.23675770
111  58.59033880  016.23667730
111  58.59028215  016.23662009
111  58.59088467  016.23418979
113  58.59059977  016.23365680
110 1 0.00 0.0000 New Taxiway 2
111  58.58618612  016.24681896
111  58.58624566  016.24681404
112  58.58627626  016.24677553  58.58629583  016.24677476
111  58.58816221  016.24682009
112  58.58842807  016.24676758  58.58847121  016.24673558
111  58.58862592  016.24655120
111  58.59025508  016.24400768
111  58.59036004  016.24412440
111  58.59033738  016.24420449
111  58.59049441  016.24441208
111  58.59058068  016.24416330
111  58.59041912  016.24397156
111  58.59039582  016.24402599
111  58.59032903  016.24394818
112  58.59033261  016.24388182  58.59034028  016.24386710
111  58.59048885  016.24367128
111  58.59059659  016.24380331
111  58.59057311  016.24387568
111  58.59069681  016.24401688
111  58.59076793  016.24381774
111  58.59065105  016.24366142
111  58.59062362  016.24373536
111  58.59053298  016.24360949
111  58.59071903  016.24326851
112  58.59081206  016.24337222  58.59081047  016.24338372
111  58.59076038  016.24356904
111  58.59093848  016.24372163
111  58.59110307  016.24303737
111  58.59100765  016.24298016
112  58.59093275  016.24296005  58.59091741  016.24295085
112  58.59081872  016.24285568  58.59081441  016.24283820
112  58.59088004  016.24257280  58.59088867  016.24256544
111  58.59103031  016.24269867
111  58.59099448  016.24285921
111  58.59111380  016.24297558
111  58.59122114  016.24256822
111  58.59108705  016.24246289
111  58.59104988  016.24259070
112  58.59091080  016.24245295  58.59090937  016.24243639
112  58.59118383  016.24137389  58.59136904  016.24079974
111  58.59118383  016.24137389
112  58.59118383  016.24137389  58.59119262  016.24136392
111  58.59139848  016.24153235
111  58.59151472  016.24092019
111  58.59120163  016.24066312
111  58.59117844  016.24074894
111  58.59126541  016.24084112
111  58.59118590  016.24115897
111  58.59111339  016.24110594
111  58.59110473  016.24116243
111  58.59116933  016.24121301
112  58.59113890  016.24131640  58.59113679  016.24132088
111  58.59113890  016.24131640
112  58.59113890  016.24131640  58.59090973  016.24201858
111  58.59070545  016.24305208
111  58.59062878  016.24325612
112  58.58862062  016.24638793  58.58861430  016.24639274
112  58.58837365  016.24641706  58.58832707  016.24643803
111  58.58837365  016.24641706
112  58.58837365  016.24641706  58.58831441  016.24642810
111  58.58816557  016.24670110
111  58.58776492  016.24669352
111  58.58734198  016.24668551
111  58.58631167  016.24666601
112  58.58624210  016.24659292  58.58623770  016.24657606
111  58.58623877  016.24656302
113  58.58618206  016.24656032
112  58.58838160  016.24652978  58.58841266  016.24651124
111  58.58854172  016.24650330
112  58.58841404  016.24664897  58.58838781  016.24668075
111  58.58841404  016.24664897
112  58.58841404  016.24664897  58.58838643  016.24667678
113  58.58824977  016.24669532
112  58.59080080  016.24293508  58.59080559  016.24292864
112  58.59090625  016.24302613  58.59090577  016.24304177
112  58.59083292  016.24327629  58.59082525  016.24328273
114  58.59074376  016.24317236  58.59074233  016.24315305
