I
1100 Generated by WorldEditor 1.7.1r2

1   2696 0 0 ENFG Fagernes Leirin
1302 city 
1302 country Norway
1302 datum_lat 61.015555556
1302 datum_lon 9.288055556
1302 faa_code 
1302 iata_code VDB
1302 icao_code ENFG
1302 region_code EN
1302 state Oppland
1302 transition_alt 7000
1302 transition_level 
100 45.11 1 0 0.25 0 3 0 15  61.01923856  009.28364114  145    0 2 10 0 0 33  61.00341838  009.30281746   62    0 2 10 0 0
110 5 0.00 0.0000 New Taxiway 47
111  61.00682398  009.29801795
111  61.00627396  009.29866053
111  61.00614748  009.29877650
111  61.00609126  009.29875014
111  61.00596606  009.29832316
111  61.00590474  009.29825991
111  61.00583830  009.29835216
111  61.00584213  009.29851293
111  61.00598650  009.29897944
111  61.00502555  009.30020770
111  61.00485446  009.30038987
111  61.00406706  009.30130449
111  61.00390332  009.30136900
111  61.00378742  009.30133864
111  61.00373223  009.30124756
112  61.00366232  009.30134623  61.00365496  009.30135762
111  61.00361449  009.30146767
111  61.00355010  009.30179404
111  61.00318951  009.30224944
111  61.00331645  009.30270105
111  61.00327046  009.30287562
111  61.00323919  009.30304260
111  61.00327230  009.30308814
111  61.00344891  009.30310332
111  61.00355010  009.30346764
111  61.00400451  009.30308815
111  61.00412777  009.30317164
111  61.00417744  009.30312231
111  61.00427127  009.30265931
111  61.00439085  009.30231396
111  61.00491885  009.30166879
111  61.00522056  009.30139555
111  61.00525368  009.30139555
111  61.00527575  009.30146386
111  61.00530151  009.30144868
111  61.00530887  009.30131964
111  61.00545236  009.30103879
111  61.01234402  009.29263548
111  61.01284296  009.29210251
111  61.01316969  009.29165153
111  61.01611977  009.28806043
111  61.01625775  009.28841794
111  61.01631141  009.28850653
111  61.01641259  009.28857613
111  61.01661956  009.28745931
111  61.01792505  009.28591195
111  61.01807708  009.28584604
111  61.01821889  009.28582231
111  61.01833643  009.28586187
111  61.01841181  009.28569312
111  61.01839647  009.28549537
111  61.01853573  009.28526070
111  61.01860983  009.28508404
111  61.01877208  009.28489156
111  61.01896500  009.28474127
111  61.01896609  009.28460203
111  61.01887710  009.28456494
111  61.01886064  009.28451195
111  61.00398745  009.30255524
111  61.00399876  009.30258873
111  61.00398616  009.30279113
111  61.00356208  009.30332005
111  61.00328172  009.30234639
111  61.00370212  009.30182602
111  61.00379368  009.30186872
111  61.00381103  009.30193922
113  61.00687755  009.29822313
110 5 0.00 330.8400 New Taxiway 46
111  61.00940993  009.29515434
111  61.00934728  009.29494889
111  61.00812053  009.29639207
112  61.00784751  009.29631786  61.00770644  009.29616594
111  61.00784751  009.29631786
111  61.00786685  009.29639619
111  61.00791742  009.29651334
112  61.00791742  009.29651334  61.00803700  009.29660191
111  61.00812502  009.29656093
113  61.00815996  009.29666907
110 5 0.00 329.1600 New Taxiway 45
111  61.01256744  009.29082174
111  61.01254987  009.29094464
111  61.01090957  009.29301271
111  61.00973694  009.29447880
111  61.00979643  009.29468596
113  61.01264894  009.29122922
110 5 0.00 331.3900 New Taxiway 44
111  61.01869518  009.28367464
111  61.01863656  009.28357693
111  61.01855096  009.28371668
111  61.01847048  009.28388543
111  61.01819069  009.28416229
111  61.01799905  009.28419920
111  61.01795817  009.28413592
111  61.01789940  009.28412801
111  61.01784318  009.28418339
111  61.01784063  009.28432577
111  61.01777675  009.28459998
111  61.01762344  009.28487419
111  61.01690170  009.28573427
111  61.01682627  009.28571528
111  61.01677660  009.28576844
111  61.01678028  009.28585196
111  61.01651536  009.28617087
111  61.01602783  009.28681629
111  61.01575004  009.28703649
111  61.01562126  009.28729465
111  61.01261854  009.29080197
111  61.01271341  009.29115109
111  61.01868983  009.28390872
113  61.01867608  009.28386410
110 4 0.00 328.5400 New Taxiway 43
111  61.01230645  009.28914038
111  61.01257855  009.28870285
111  61.01265265  009.28855258
111  61.01265393  009.28820988
111  61.01254534  009.28781182
111  61.01249040  009.28765365
111  61.01248785  009.28753239
111  61.01238819  009.28751393
111  61.01225916  009.28764574
111  61.01214673  009.28777755
111  61.01206624  009.28785136
111  61.01192826  009.28789354
111  61.01174174  009.28795154
111  61.01159865  009.28807017
111  61.01145684  009.28824679
111  61.01130225  009.28853150
111  61.01109273  009.28899546
111  61.01101735  009.28934079
111  61.01106845  009.28944360
111  61.01111189  009.28961231
111  61.01107484  009.28984956
111  61.01107867  009.28996028
111  61.01108378  009.29037151
111  61.01113019  009.29066634
111  61.01137488  009.29039914
112  61.01152180  009.29042551  61.01158925  009.29057418
111  61.01152180  009.29042551
111  61.01159952  009.29052436
112  61.01159952  009.29052436  61.01165318  009.29059395
111  61.01170598  009.29053095
111  61.01200834  009.29022121
112  61.01217337  009.28978844  61.01218870  009.28965874
111  61.01217337  009.28978844
111  61.01227131  009.28901076
111  61.01228835  009.28879987
113  61.01232455  009.28884820
110 4 0.00 62.0000 New Taxiway 29
111  61.00614060  009.29474333
112  61.00615991  009.29477514  61.00617145  009.29480443
111  61.00616523  009.29488862
111  61.00616169  009.29499295
112  61.00620427  009.29525103  61.00621226  009.29530411
111  61.00619806  009.29534621
111  61.00616612  009.29537183
111  61.00617943  009.29549813
111  61.00619274  009.29557317
112  61.00615370  009.29565554  61.00613152  009.29567750
112  61.00610402  009.29559330  61.00609071  009.29554022
111  61.00606143  009.29553473
111  61.00606409  009.29546701
111  61.00609692  009.29537915
112  61.00602506  009.29532424  61.00601707  009.29532058
111  61.00593811  009.29527117
111  61.00588576  009.29544505
111  61.00586092  009.29557866
111  61.00587068  009.29572875
111  61.00589552  009.29578366
111  61.00592657  009.29573424
111  61.00595497  009.29569031
112  61.00598957  009.29581294  61.00600997  009.29586053
111  61.00599666  009.29594473
111  61.00600110  009.29612227
111  61.00597715  009.29630348
111  61.00596029  009.29642611
111  61.00600909  009.29646638
112  61.00606971  009.29676889  61.00607957  009.29682736
111  61.00611654  009.29678287
112  61.00617815  009.29672059  61.00617815  009.29671805
111  61.00621696  009.29666848
111  61.00626749  009.29668500
111  61.00632417  009.29663289
111  61.00653734  009.29639138
111  61.00656137  009.29631512
112  61.00652441  009.29614606  61.00652625  009.29613716
111  61.00646649  009.29591599
111  61.00639687  009.29571898
111  61.00636175  009.29559822
111  61.00632170  009.29541646
111  61.00627303  009.29522961
111  61.00622867  009.29500590
111  61.00622929  009.29494108
113  61.00628600  009.29477994
110 5 0.00 0.0000 New Taxiway 28
111  61.00947955  009.29423720
111  61.00989096  009.29377795
111  61.01012552  009.29348062
112  61.01012552  009.29348062  61.01048274  009.29311369
111  61.01068204  009.29251585
112  61.01068204  009.29251585  61.01081389  009.29212994
111  61.01092255  009.29124349
112  61.01092255  009.29124349  61.01097774  009.29087972
111  61.01112057  009.29076900
111  61.01137715  009.29048342
112  61.01151343  009.29049001  61.01157016  009.29059440
111  61.01151343  009.29049001
111  61.01158370  009.29057569
