I
1100 Generated by WorldEditor 1.7.21r1

1    390 1 0 EFTP Tampere Pirkkala
1302 city Tampere / Pirkkala
1302 country Finland
1302 datum_lat 61.415277778
1302 datum_lon 23.587777778
1302 faa_code 
1302 iata_code TMP
1302 icao_code EFTP
1302 region_code EF
1302 state Western Finland
1302 transition_alt 5000
1302 transition_level 
100 45.11 1 0 0.00 0 3 0 06  61.40892224  023.58158575    0  150 3 3 0 0 24  61.41936876  023.62721588    0  150 3 3 0 0
102 H9  61.42144124  023.62760951 269.77 24.30 20.70 2 0 0 0.00 1
110 1 0.00 0.0000 New Taxiway 8
111  61.41262705  023.59679306
111  61.41278110  023.59746573
112  61.41277950  023.59689875  61.41283260  023.59659156
113  61.41295233  023.59646946
110 1 0.00 0.0000 New Taxiway 7
111  61.41251279  023.59628751
111  61.41284058  023.59595974
112  61.41257911  023.59595927  61.41242995  023.59585729
113  61.41236823  023.59565912
110 1 0.00 0.0000 New Taxiway 25
111  61.41788955  023.60273165
111  61.41717404  023.59961253
111  61.41691998  023.59986769
111  61.41696053  023.60002766
111  61.41675855  023.60022851
111  61.41700622  023.60130982
111  61.41694292  023.60138715
112  61.41689698  023.60150427  61.41688737  023.60155196
111  61.41688826  023.60164036
111  61.41578949  023.60277802
111  61.41587777  023.60317009
111  61.41698083  023.60203553
112  61.41704422  023.60211357  61.41707785  023.60212361
111  61.41710824  023.60210197
111  61.41717158  023.60203721
111  61.41725632  023.60239460
111  61.41737327  023.60227702
112  61.41755645  023.60308370  61.41756109  023.60310374
111  61.41755645  023.60308370
114  61.41755645  023.60308370  61.41758834  023.60305223
110 1 0.00 0.0000 New Taxiway 20
111  61.42098483  023.62505513
111  61.42110503  023.62557229
111  61.42128118  023.62556926
113  61.42112954  023.62491016
110 1 0.00 0.0000 New Taxiway 7
111  61.41976942  023.61161927
111  61.41973234  023.61146075
111  61.41957092  023.61162893
111  61.41949917  023.61170222
111  61.41950454  023.61160111
111  61.41993911  023.61113738
111  61.41983697  023.61068232
111  61.41955189  023.61096586
111  61.41953621  023.61089161
