I
1130 Generated by WorldEditor 2.1.0r1

1    367 1 0 EFNU Nummela
1302 city 
1302 country Finland
1302 datum_lat 60.333888889
1302 datum_lon 24.296388889
1302 faa_code 
1302 gui_label 3D
1302 iata_code 
1302 icao_code EFNU
1302 region_code EF
1302 state Southern Finland
1302 transition_alt 
1302 transition_level 
1302 flatten 1
100 10.00 1 0 0.08 0 0 0 04L  60.33509376  024.29601809    0    0 0 0 0 0 22R  60.33733412  024.29974235    2    2 0 0 0 0
100 17.98 1 0 0.25 0 0 0 04C  60.32688650  024.28281800    0    0 1 0 0 0 22C  60.33538200  024.29682400    0    0 1 0 0 0
100 10.00 1 0 0.00 0 0 0 04R  60.32895939  024.28690987    0    0 0 0 0 0 22L  60.33131028  024.29066039    0    0 0 0 0 0
100 25.08 4 0 0.25 0 0 0 09  60.33613900  024.29386100    0    0 1 0 0 0 27  60.33603500  024.30697200    0    6 1 0 0 0
110 1 0.00 40.0000 RC ACT
111  60.33770242  024.30343882
111  60.33741089  024.30423368
111  60.33779207  024.30480450
113  60.33808360  024.30400965
110 1 0.05 40.0000 Main Taxiway segment 1
111  60.33516459  024.29663826
112  60.33516339  024.29694243  60.33514589  024.29702728
112  60.33508399  024.29710395  60.33505250  024.29714991
111  60.33494147  024.29710031
111  60.33382194  024.29513493
111  60.33372391  024.29520826
111  60.33364310  024.29540416
111  60.33365433  024.29560461
111  60.33403382  024.29630845
111  60.33481770  024.29802554
111  60.33498685  024.29780882
113  60.33533341  024.29692527
110 1 0.00 40.0000 Main Taxiway segment 2
111  60.33135193  024.29139304
111  60.33132939  024.29147138
111  60.33365231  024.29541983
111  60.33373549  024.29522781
113  60.33138880  024.29126736
110 1 0.05 40.0000 Main Taxiway segment 3
111  60.33152097  024.29058433
111  60.33136220  024.29032888
112  60.33127180  024.29017414  60.33127180  024.29020551
112  60.33130797  024.29048971  60.33131861  024.29065857
112  60.33128046  024.29067244  60.33127529  024.29068588
112  60.33117736  024.29078147  60.33115591  024.29077250
111  60.32983991  024.28874160
111  60.32974532  024.28873400
111  60.32968028  024.28888436
111  60.32971870  024.28911891
111  60.33126160  024.29160386
111  60.33130645  024.29161746
111  60.33134579  024.29151283
111  60.33141551  024.29131448
112  60.33133547  024.29105443  60.33133473  024.29101858
112  60.33140009  024.29087094  60.33142375  024.29084405
111  60.33140009  024.29087094
112  60.33140009  024.29087094  60.33140817  024.29086176
112  60.33150184  024.29084634  60.33153929  024.29084693
111  60.33150184  024.29084634
112  60.33150184  024.29084634  60.33157410  024.29084748
113  60.33167004  024.29086638
110 1 0.05 40.0000 Main Taxiway segment 4
111  60.32973403  024.28877016
112  60.32686045  024.28402542  60.32677803  024.28386918
112  60.32679269  024.28371264  60.32679041  024.28359507
112  60.32683155  024.28349608  60.32683215  024.28349290
111  60.32683155  024.28349608
112  60.32683155  024.28349608  60.32683704  024.28346698
112  60.32688004  024.28335559  60.32689004  024.28331968
111  60.32688004  024.28335559
112  60.32688004  024.28335559  60.32689113  024.28331576
111  60.32697215  024.28314311
111  60.32684437  024.28292345
111  60.32672228  024.28325608
112  60.32666495  024.28355510  60.32665983  024.28363460
112  60.32667265  024.28387357  60.32668645  024.28396080
111  60.32667265  024.28387357
112  60.32667265  024.28387357  60.32669373  024.28398262
112  60.32679797  024.28413544  60.32686554  024.28424820
111  60.32679797  024.28413544
112  60.32679797  024.28413544  60.32692240  024.28434789
111  60.32712246  024.28467734
111  60.32959854  024.28870728
113  60.32969150  024.28888366
110 1 0.15 0.0000 New Taxiway 1
111  60.33704684  024.29593857
111  60.33681177  024.29598815
111  60.33667241  024.29606728
112  60.33562756  024.29620666  60.33551396  024.29632479
111  60.33540542  024.29648498
111  60.33546431  024.29657934
112  60.33564451  024.29635686  60.33572970  024.29627923
111  60.33590027  024.29626751
111  60.33600709  024.29624726
111  60.33627438  024.29623252
111  60.33656535  024.29620452
111  60.33681310  024.29618814
111  60.33690135  024.29627451
111  60.33691521  024.29657547
111  60.33703645  024.29661746
113  60.33706416  024.29593857
110 1 0.00 50.0000 Southside Taxiway
111  60.33559879  024.30205041
111  60.33578217  024.30169117
111  60.33550966  024.30106486
111  60.33574649  024.30036309
112  60.33584107  024.29983156  60.33583067  024.29956146
111  60.33564000  024.29902795
111  60.33514911  024.29761662
111  60.33512858  024.29738683
111  60.33504624  024.29759474
111  60.33532353  024.29835093
111  60.33560176  024.29912194
112  60.33578184  024.29983580  60.33578929  024.30004448
112  60.33570802  024.30027648  60.33569886  024.30030423
111  60.33553331  024.30078420
111  60.33546414  024.30098531
111  60.33527201  024.30134838
113  60.33545341  024.30172606
130 Airport Boundary 1
111  60.33689334  024.29148480
111  60.33651745  024.29011998
111  60.33565728  024.28861840
111  60.33132253  024.28190646
111  60.32768145  024.27897447
111  60.32577866  024.27952605
111  60.32511648  024.28206442
111  60.32736830  024.28687568
111  60.32674677  024.28953174
111  60.32749191  024.29065607
111  60.33039174  024.29508554
111  60.33173386  024.29809769
111  60.33206533  024.29927349
111  60.33230323  024.30052824
111  60.33268539  024.30169816
111  60.33311860  024.30361946
111  60.33482823  024.31162138
111  60.33611220  024.31341572
111  60.34125895  024.30698758
111  60.34174715  024.30434174
111  60.34161906  024.30140142
111  60.33929457  024.29642765
111  60.33875206  024.29525809
113  60.33773445  024.29267746
1300  60.33681195  024.29610771 176.41 hangar props GA 1
1301 B none 
1300  60.33546828  024.30113959 -74.37 hangar props GA 2
1301 B none 
19  60.33674160  024.30036928 1 WS
1050 135825 ATIS
99
