I
1100 Generated by WorldEditor 1.7.1r2

1    243 1 0 ENOV Orsta-Volda Hovden
1302 city Ørsta
1302 country Norway
1302 datum_lat 62.18
1302 datum_lon 6.074166667
1302 faa_code 
1302 iata_code HOV
1302 icao_code ENOV
1302 region_code EN
1302 state Møre og Romsdal
1302 transition_alt 7000
1302 transition_level 
1302 flatten 1
100 30.00 1 1 0.25 1 1 0 06  62.17680519  006.06216692   59    0 2 12 0 0 24  62.18156569  006.07999904   59    0 2 12 0 0
110 4 0.00 57.9200 New Taxiway 100
111  62.18123297  006.08227816
112  62.18123297  006.08227816  62.18139543  006.08247498
111  62.18153380  006.08249919
111  62.18153380  006.08247107
112  62.18139196  006.08228363  62.18133135  006.08215241
111  62.18139196  006.08228363
111  62.18137822  006.08219660
111  62.18109891  006.08116698
111  62.18107767  006.08115092
111  62.18108642  006.08108933
111  62.18110062  006.08105761
111  62.18111391  006.08108397
111  62.18114203  006.08120581
112  62.18114203  006.08120581  62.18114890  006.08123216
111  62.18116202  006.08122723
111  62.18150818  006.08080548
111  62.18149881  006.08077334
111  62.18116577  006.08119108
112  62.18115328  006.08118707  62.18114966  006.08117080
111  62.18115328  006.08118707
111  62.18111672  006.08102386
111  62.18111238  006.08098434
111  62.18109684  006.08095335
111  62.18109274  006.08091551
111  62.18090700  006.08116654
111  62.18091018  006.08123631
111  62.18092080  006.08129804
111  62.18089893  006.08139578
111  62.18088768  006.08151895
111  62.18099194  006.08163620
112  62.18099194  006.08163620  62.18100929  006.08169819
111  62.18109763  006.08182824
111  62.18120323  006.08194071
111  62.18123259  006.08205183
113  62.18124072  006.08222455
110 4 0.00 64.0500 New Taxiway 96
112  62.18022573  006.07874979  62.18028184  006.07876714
111  62.18022573  006.07874979
111  62.18005500  006.07845095
111  62.17983305  006.07780027
111  62.17983905  006.07772637
111  62.17977382  006.07746770
111  62.17968909  006.07735845
111  62.17966435  006.07741951
111  62.17943066  006.07769798
111  62.17956312  006.07834062
111  62.17981071  006.07844266
112  62.17995393  006.07849541  62.17998842  006.07854522
111  62.17995393  006.07849541
113  62.18006702  006.07864536
110 4 0.00 60.8200 New Taxiway 94
111  62.18009971  006.07337354
111  62.18010871  006.07336005
111  62.18014559  006.07348344
111  62.18016629  006.07357598
111  62.18018698  006.07366274
111  62.18020138  006.07369358
111  62.18020048  006.07370515
111  62.18022837  006.07384975
111  62.18022208  006.07385746
111  62.18022927  006.07392108
111  62.18025357  006.07403483
111  62.18032105  006.07423148
111  62.18047311  006.07483878
111  62.18048031  006.07483493
111  62.18048481  006.07480793
111  62.18044702  006.07461128
111  62.18040563  006.07447440
111  62.18041373  006.07443970
111  62.18040023  006.07435101
112  62.18033275  006.07413508  62.18032825  006.07412159
111  62.18030935  006.07400398
111  62.18026616  006.07385168
111  62.18024817  006.07374757
111  62.18016269  006.07344295
111  62.18009701  006.07328486
113  62.18009071  006.07333113
110 4 0.00 0.0000 New Taxiway 93
111  62.17766074  006.06449698
111  62.17779346  006.06498213
112  62.17779196  006.06479096  62.17777696  006.06472992
111  62.17779196  006.06479096
114  62.17779196  006.06479096  62.17773272  006.06455802
110 4 0.00 0.0000 New Taxiway 92
111  62.17751828  006.06376602
111  62.17765774  006.06432829
111  62.17780171  006.06478775
112  62.17780171  006.06478775  62.17784144  006.06485683
111  62.17782345  006.06475241
111  62.17776721  006.06450822
111  62.17765474  006.06409535
113  62.17751528  006.06368891
110 4 0.00 59.3300 New Taxiway 91
111  62.17682898  006.06311730
111  62.17681818  006.06319441
111  62.17672460  006.06319441
111  62.17673450  006.06386911
111  62.17680378  006.06384213
111  62.17683618  006.06381321
111  62.17687307  006.06387104
111  62.17687936  006.06396743
111  62.17691626  006.06400406
111  62.17697474  006.06408888
111  62.17710701  006.06457660
111  62.17726627  006.06510866
111  62.17733735  006.06544988
111  62.17736254  006.06555398
111  62.17739403  006.06559832
112  62.17744712  006.06566772  62.17744982  006.06567350
111  62.17746511  006.06569856
111  62.17746422  006.06560024
113  62.17747861  006.06553663
110 4 0.00 60.6000 New Taxiway 89
111  62.17730240  006.06315619
112  62.17729430  006.06295185  62.17727556  006.06288224
111  62.17729430  006.06295185
111  62.17721512  006.06265883
112  62.17720882  006.06254703  62.17719258  006.06248545
111  62.17720882  006.06254703
111  62.17700143  006.06175098
111  62.17677424  006.06203618
111  62.17656837  006.06130704
111  62.17665463  006.06104775
112  62.17665463  006.06104775  62.17676137  006.06074096
111  62.17677244  006.06064083
111  62.17680483  006.06032854
111  62.17686853  006.06009721
111  62.17695707  006.05997461
112  62.17705640  006.06006714  62.17712149  006.06018521
111  62.17705640  006.06006714
111  62.17710175  006.06015041
112  62.17710175  006.06015041  62.17712128  006.06018016
111  62.17714170  006.06012034
111  62.17719245  006.05999773
112  62.17722916  006.05999079  62.17724652  006.06001775
111  62.17722916  006.05999079
112  62.17737276  006.06022675  62.17742225  006.06041631
111  62.17737276  006.06022675
111  62.17749462  006.06067289
111  62.17751622  006.06062277
111  62.17743884  006.06029891
112  62.17743884  006.06029891  62.17738035  006.06004509
111  62.17729667  006.05997505
111  62.17712662  006.05978035
112  62.17712662  006.05978035  62.17700815  006.05965023
111  62.17688818  006.05982469
111  62.17679820  006.06001554
111  62.17673342  006.06027000
111  62.17667763  006.06068639
111  62.17662635  006.06090229
112  62.17658136  006.06094277  62.17656574  006.06091823
111  62.17658496  006.06086759
111  62.17666504  006.06050132
111  62.17669923  006.06027578
111  62.17685849  006.05974180
111  62.17694397  006.05952397
111  62.17692057  006.05947963
111  62.17652017  006.05968590
111  62.17645899  006.05973409
111  62.17638071  006.05970132
111  62.17625024  006.05982084
111  62.17619659  006.05983173
111  62.17617923  006.05986613
111  62.17613454  006.05968671
111  62.17608680  006.05974621
111  62.17618598  006.06012673
112  62.17615189  006.06027982  62.17610003  006.06036282
111  62.17615189  006.06027982
111  62.17585223  006.06074069
111  62.17594401  006.06080816
111  62.17618785  006.06037057
111  62.17622024  006.06046696
111  62.17622924  006.06062888
111  62.17630122  006.06085827
111  62.17651806  006.06141346
111  62.17657835  006.06161201
111  62.17659364  006.06159273
112  62.17657115  006.06180478  62.17651929  006.06187306
111  62.17657115  006.06180478
111  62.17648747  006.06192044
112  62.17634441  006.06194936  62.17627130  006.06192660
111  62.17634441  006.06194936
111  62.17613296  006.06188189
111  62.17609787  006.06201105
111  62.17612306  006.06223466
111  62.17610237  006.06230406
111  62.17610417  006.06241972
111  62.17614437  006.06266281
111  62.17617144  006.06283349
111  62.17619383  006.06290043
111  62.17621570  006.06290824
111  62.17624590  006.06283461
111  62.17625111  006.06299971
112  62.17625111  006.06299971  62.17625236  006.06313224
111  62.17622455  006.06330538
111  62.17621674  006.06336116
112  62.17621674  006.06336116  62.17620300  006.06337990
111  62.17616467  006.06328195
111  62.17623809  006.06373264
112  62.17624122  006.06344929  62.17623059  006.06336361
111  62.17624122  006.06344929
112  62.17627923  006.06296959  62.17628548  006.06282502
111  62.17627923  006.06296959
112  62.17627923  006.06296959  62.17628173  006.06290534
111  62.17631724  006.06281341
111  62.17637347  006.06275540
111  62.17642242  006.06271301
111  62.17644169  006.06252002
111  62.17643179  006.06235826
112  62.17651042  006.06197227  62.17661664  006.06183305
111  62.17651042  006.06197227
111  62.17658071  006.06188637
112  62.17668381  006.06192876  62.17671943  006.06205594
