I
1100 Generated by WorldEditor 1.7.1r1

1      0 1 0 ENTC Tromso Langnes
1302 city Tromsø
1302 country Norway
1302 datum_lat 69.681388889
1302 datum_lon 18.917777778
1302 faa_code 
1302 iata_code TOS
1302 icao_code ENTC
1302 region_code EN
1302 state Troms
1302 transition_alt 7000
1302 transition_level 
100 42.99 1 0 0.00 1 3 0 01  69.67237433  018.91160396   56    0 5 1 0 0 19  69.69380013  018.92588123  396  145 5 1 0 0
110 1 0.00 13.0300 New Taxiway 3
111  69.67317726  018.91156492 24
111  69.67294344  018.91112088 24
111  69.67244109  018.91078448 24
111  69.67231194  018.91240201 24
111  69.67280999  018.91273869 24
113  69.67309896  018.91265602
110 1 0.00 13.0000 New Taxiway 79
111  69.67745082  018.91576783
112  69.67749416  018.91588068  69.67750319  018.91594844
111  69.67750091  018.91602610
111  69.67724887  018.91924457
112  69.67720681  018.91951592  69.67718185  018.91956819
111  69.67714093  018.91955320
111  69.67542220  018.91831048
112  69.67538587  018.91812430  69.67538035  018.91799725
111  69.67539834  018.91793373
112  69.67587932  018.91636093  69.67596874  018.91594429
111  69.67607888  018.91501839
112  69.67610436  018.91493331  69.67611737  018.91490721
111  69.67614209  018.91489424
111  69.67623904  018.91472978
111  69.67592270  018.91451952
111  69.67595534  018.91476146
112  69.67597948  018.91488006  69.67598658  018.91496038
111  69.67597691  018.91506068
112  69.67579809  018.91624890  69.67571808  018.91660796
111  69.67538547  018.91761013
112  69.67526700  018.91772069  69.67523470  018.91778273
112  69.67521471  018.91785242  69.67520478  018.91790142
111  69.67518366  018.91805942
112  69.67515669  018.91813704  69.67514219  018.91815516
111  69.67510767  018.91813939
112  69.67440802  018.91769827  69.67439304  018.91768651
111  69.67436707  018.91758924
112  69.67434835  018.91724132  69.67433686  018.91714584
111  69.67427629  018.91712371
112  69.67419969  018.91714658  69.67417723  018.91717607
111  69.67414635  018.91729032
112  69.67409254  018.91750839  69.67407789  018.91753561
111  69.67402284  018.91763497
111  69.67409066  018.91781147
111  69.67507110  018.91839071
112  69.67512296  018.91847227  69.67513762  018.91850630
111  69.67516234  018.91858673
111  69.67541063  018.91873522
112  69.67544987  018.91865082  69.67546690  018.91864428
111  69.67550567  018.91865490
111  69.67707842  018.91982999
112  69.67712737  018.91990982  69.67713558  018.91994764
111  69.67713919  018.91999014
111  69.67727964  018.92008620
112  69.67738109  018.92002934  69.67742081  018.92003070
111  69.67746443  018.92004966
111  69.67749200  018.91975497
112  69.67748936  018.91959029  69.67748085  018.91948737
111  69.67741527  018.91941183
112  69.67735569  018.91927133  69.67734576  018.91919373
111  69.67735058  018.91913084
111  69.67759400  018.91607839
112  69.67762293  018.91596286  69.67764072  018.91593214
111  69.67766887  018.91592191
111  69.67775728  018.91574960
113  69.67736600  018.91548470
110 1 0.00 13.0000 New Taxiway 78
111  69.67992022  018.91740009
112  69.67995023  018.91752272  69.67995614  018.91757151
111  69.67995198  018.91764200
112  69.67984221  018.91909117  69.67981242  018.91944654
111  69.67970259  018.92075397
112  69.67967808  018.92087161  69.67966527  018.92089147
111  69.67963720  018.92090302
111  69.67956532  018.92095631
