I
1100 Generated by WorldEditor 1.6.0b2

1   3506 0 0 X43 Sunray
100 15.24 1 0 0.00 0 1 0 17  36.03347679 -101.82886859    0    0 1 0 0 0 35  36.02456211 -101.82886865    0    0 1 0 0 0
100 15.24 5 0 0.00 0 0 0 02  36.02436663 -101.83526726    0    0 0 0 0 0 20  36.03338786 -101.82908397    0    0 0 0 0 0
110 2 0.00 0.0000 SE Ramp
111  36.02487505 -101.82880193
111  36.02493965 -101.82864885
111  36.02499482 -101.82851075
111  36.02495445 -101.82842256
111  36.02472164 -101.82841924
111  36.02467992 -101.82845917
111  36.02467723 -101.82815800
111  36.02500290 -101.82815634
111  36.02500559 -101.82822955
111  36.02500559 -101.82830276
111  36.02512266 -101.82840426
111  36.02508633 -101.82848912
111  36.02503788 -101.82853904
111  36.02495310 -101.82873871
113  36.02495445 -101.82879861
110 5 0.00 0.0000 East Ramp
111  36.02610013 -101.82879187
112  36.02609367 -101.82853230  36.02609044 -101.82846641
111  36.02603715 -101.82846241
112  36.02583690 -101.82845642  36.02575778 -101.82845642
111  36.02576747 -101.82852231
111  36.02576908 -101.82878388
111  36.02567865 -101.82878788
111  36.02566573 -101.82846641
111  36.02553654 -101.82845642
111  36.02556076 -101.82879386
111  36.02456718 -101.82878628
111  36.02453058 -101.82878146
112  36.02454071 -101.82880361  36.02455005 -101.82882383
111  36.02456319 -101.82883143
111  36.02460899 -101.82883836
112  36.02456974 -101.82890538  36.02449871 -101.82890422
111  36.02445759 -101.82875979
111  36.02445666 -101.82862922
111  36.02442886 -101.82862689
111  36.02441491 -101.82810073
111  36.02540320 -101.82809210
111  36.02561146 -101.82809487
112  36.02607073 -101.82808049  36.02621219 -101.82809007
111  36.02619873 -101.82841567
111  36.02619604 -101.82874346
111  36.02616374 -101.82875012
113  36.02616644 -101.82879005
110 5 0.00 0.0000 West Ramp
111  36.02605609 -101.82895050
111  36.02592690 -101.82902704
111  36.02592959 -101.83015018
111  36.02593187 -101.83083084
111  36.02469360 -101.83086438
111  36.02469360 -101.83050258
111  36.02469171 -101.83031974
112  36.02473790 -101.83026238  36.02473902 -101.83020969
111  36.02472789 -101.82915017
111  36.02471788 -101.82903939
111  36.02463714 -101.82903540
111  36.02463229 -101.82894355
111  36.02487226 -101.82894379
111  36.02485366 -101.82896967
111  36.02484901 -101.82904443
111  36.02478389 -101.82904155
112  36.02477397 -101.82907559  36.02477531 -101.82910388
111  36.02477811 -101.83005010
112  36.02492733 -101.83017948  36.02509204 -101.83017230
111  36.02581485 -101.83015313
112  36.02588171 -101.83004411  36.02588171 -101.82991632
111  36.02587848 -101.82916756
111  36.02587363 -101.82905774
111  36.02586717 -101.82902579
113  36.02579612 -101.82894592
130 Airport Boundary 1
111  36.03405831 -101.82705501
111  36.03398226 -101.83711515
111  36.02417182 -101.83711515
113  36.02417182 -101.82705501
1300  36.02448492 -101.82842474 269.25 tie_down props South Ramp
1301 E none 
1300  36.02503920 -101.82843312 244.32 tie_down props SE Ramp
1301 E none 
1300  36.02525911 -101.83062045 181.17 tie_down props West Ramp
1301 E none 
19  36.02664751 -101.83002030 1 New Windsock 1
51 12290 CTAF
99
