I
1100 Generated by WorldEditor 1.7.21r1

1    354 1 0 ENKJ Kjeller
1302 city Kjeller
1302 country Norway
1302 datum_lat 59.969444444
1302 datum_lon 11.038888889
1302 faa_code 
1302 iata_code 
1302 icao_code ENKJ
1302 region_code EN
1302 state Akershus
1302 transition_alt 
1302 transition_level 
100 29.87 1 0 0.25 0 0 0 12  59.97338752  011.02713339  218   78 2 0 0 0 30  59.96552652  011.05157545   71    0 2 0 0 0
102 H2  59.96893916  011.04707891 145.00 15.00 15.00 2 0 0 0.00 1
110 2 0.00 123.0000 Taxiway west
111  59.97231151  011.02999300
111  59.97142940  011.02881582
111  59.97136866  011.02862189
111  59.97140885  011.02826945
111  59.97121330  011.02763347
111  59.97112087  011.02760781
111  59.97110636  011.02794251
111  59.97077135  011.02787709
111  59.97072719  011.02844130
111  59.97098566  011.02857703
112  59.97213548  011.03008417  59.97216356  011.03013107
113  59.97218394  011.03039602
110 2 0.00 123.0000 Taxiway east
111  59.96763913  011.04547288
112  59.96781753  011.04546278  59.96784478  011.04556258
112  59.96818195  011.04645102  59.96823104  011.04659717
111  59.96809822  011.04687354
112  59.96776702  011.04788729  59.96768392  011.04815254
112  59.96751722  011.04781509  59.96748538  011.04769269
112  59.96727116  011.04695866  59.96724852  011.04684414
111  59.96724617  011.04669222
111  59.96714358  011.04702759
112  59.96722071  011.04713101  59.96723805  011.04723811
112  59.96784338  011.04935140  59.96785441  011.04938600
112  59.96784315  011.04955789  59.96781948  011.04963971
112  59.96762240  011.04985382  59.96759718  011.04988841
112  59.96743341  011.04974959  59.96739410  011.04965507
111  59.96714196  011.04895612
111  59.96693568  011.04966807
111  59.96708085  011.04993466
112  59.96693626  011.05095268  59.96691801  011.05102326
112  59.96681358  011.05136707  59.96680350  011.05150943
111  59.96681977  011.05165441
111  59.96689287  011.05162582
112  59.96691975  011.05121972  59.96699906  011.05107567
111  59.96707188  011.05113362
111  59.96734219  011.05136778
112  59.96738630  011.05143072  59.96745406  011.05148578
112  59.96779256  011.05161741  59.96798373  011.05159983
111  59.96816656  011.05131677
111  59.96810514  011.05114974
111  59.96884022  011.05007415
111  59.96875643  011.04982693
111  59.96958878  011.04859260
111  59.96895198  011.04685105
111  59.96873799  011.04714978
112  59.96881337  011.04746186  59.96880707  011.04756256
112  59.96868787  011.04751846  59.96865937  011.04744747
111  59.96841373  011.04670617
112  59.96784801  011.04525672  59.96780164  011.04506790
113  59.96781475  011.04492616
111  59.96848008  011.04794504
112  59.96817705  011.04706770  59.96814838  011.04697530
112  59.96834942  011.04693975  59.96839215  011.04696613
113  59.96864219  011.04773500
111  59.96765341  011.05122279
111  59.96771018  011.05141181
112  59.96768369  011.05147608  59.96764206  011.05147986
112  59.96753610  011.05142693  59.96746636  011.05138577
112  59.96713623  011.05106769  59.96705966  011.05099429
112  59.96700442  011.05097035  59.96699496  011.05091742
111  59.96705361  011.05041379
112  59.96718585  011.04997789  59.96727662  011.04989210
112  59.96743077  011.04986564  59.96748186  011.04995637
111  59.96755455  011.05017983
113  59.96736203  011.05044782
111  59.96791806  011.04927382
112  59.96790631  011.04916580  59.96790748  011.04912118
111  59.96794627  011.04908125
111  59.96820484  011.04878771
112  59.96825538  011.04875248  59.96827419  011.04874779
111  59.96828594  011.04878301
111  59.96832590  011.04887695
111  59.96823658  011.04901785
111  59.96825656  011.04909300
113  59.96799563  011.04946169
111  59.96785812  011.04874343
111  59.96821189  011.04828784
111  59.96828477  011.04842875
112  59.96828477  011.04850859  59.96828124  011.04852973
111  59.96822952  011.04860957
111  59.96802737  011.04886085
114  59.96796390  011.04886319  59.96793099  011.04884910
111  59.96788758  011.04851333
111  59.96781510  011.04861705
111  59.96778082  011.04848789
112  59.96780041  011.04839786  59.96783861  011.04835090
113  59.96785624  011.04839199
110 2 0.00 123.0000 Taxiway middle
111  59.97015402  011.03764912
112  59.97034655  011.03776999  59.97041010  011.03789080
111  59.97034655  011.03776999
112  59.97034655  011.03776999  59.97041168  011.03789379
112  59.97072291  011.03830706  59.97071845  011.03839623
111  59.97072291  011.03830706
112  59.97072291  011.03830706  59.97071816  011.03840199
111  59.97071583  011.03877316
111  59.97107653  011.03918542
111  59.97120523  011.03875454
111  59.97134153  011.03891239
111  59.97091112  011.04057543
111  59.96971012  011.04431755
111  59.97008642  011.04478632
111  59.97003535  011.04529097
111  59.97062475  011.04599658
111  59.97075423  011.04551166
111  59.97124374  011.04348569
111  59.97154561  011.04381641
111  59.97124762  011.04502353
111  59.97159766  011.04541810
111  59.97227414  011.04288848
111  59.97222626  011.04269617
111  59.97310159  011.03928162
111  59.97351664  011.03728872
111  59.97367014  011.03733350
111  59.97441989  011.03176865
111  59.97488696  011.02857303
111  59.97431125  011.02817224
111  59.97405656  011.03054039
111  59.97420844  011.03129061
111  59.97415831  011.03147399
111  59.97378289  011.03120359
111  59.97372158  011.03154987
111  59.97376063  011.03179359
111  59.97254604  011.03028393
111  59.97242754  011.03065115
112  59.97257471  011.03064623  59.97260309  011.03068782
111  59.97311981  011.03134605
112  59.97328986  011.03182836  59.97336933  011.03236149
111  59.97317106  011.03365366
112  59.97274089  011.03379011  59.97270053  011.03401351
111  59.97274089  011.03379011
112  59.97274089  011.03379011  59.97270774  011.03392829
112  59.97227035  011.03584313  59.97226806  011.03584068
111  59.97227035  011.03584313
112  59.97227035  011.03584313  59.97221234  011.03578073
111  59.97211475  011.03601101
111  59.97138260  011.03871544
112  59.97037521  011.03751409  59.97030595  011.03742877
111  59.97037521  011.03751409
112  59.97037521  011.03751409  59.97030787  011.03743113
113  59.97031032  011.03717089
111  59.97320400  011.03765066
111  59.97331427  011.03770313
111  59.97311999  011.03869470
112  59.97304910  011.03876290  59.97300185  011.03877340
111  59.97288895  011.03873143
111  59.97245838  011.03824351
112  59.97242950  011.03810710  59.97242162  011.03798643
111  59.97255027  011.03733588
111  59.97286532  011.03752475
111  59.97280756  011.03787626
113  59.97313837  011.03812284
111  59.97207873  011.04173597
111  59.97158188  011.04362299
111  59.97128699  011.04331325
111  59.97130589  011.04322260
111  59.97150626  011.04341146
111  59.97185030  011.04205920
111  59.97168774  011.04187034
111  59.97174791  011.04160216
112  59.97183056  011.04148275  59.97188727  011.04148275
113  59.97190785  011.04152808
111  59.97151658  011.03928526
111  59.97117831  011.04058548
111  59.97109955  011.04048979
112  59.97109430  011.04031205  59.97112087  011.04020691
